term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value
count_tot:months18:backgroundBengali,-1.25186668190645,0.854479562616132,-1.46506333992781,0.146137473743749,hgp_tot:months18:backgroundBengali,-1.40816324399593,0.97914326864473,-1.43815853010462,0.15360764665278,reach_tot:months18:backgroundBengali,2.3633764247947,3.7756424456536,0.625953452640979,0.532815618121129,utt_tot:months18:backgroundBengali,0.061665714499449,0.101673668322461,0.606506242145942,0.545758039750075,ct_tot:months18:backgroundBengali,5.63682594449497,4.0853281984896,1.37977309793103,0.170964865394227
count_tot:months18:backgroundChinese,0.393477316922788,0.689919462362735,0.57032354990431,0.569776999582057,hgp_tot:months18:backgroundChinese,0.199395618770316,0.703033439248691,0.283621813186302,0.777304695241514,reach_tot:months18:backgroundChinese,6.36915097486026,4.16715866781259,1.52841575821339,0.129663859099894,utt_tot:months18:backgroundChinese,-0.00790688629159,0.103968796813833,-0.076050570304748,0.939553478214253,ct_tot:months18:backgroundChinese,-2.56404182001394,3.10679673406104,-0.825300796767081,0.411312832074127
,,,,,,,,,,,,,,,,,,,,,,,,
count_tot,0.05,0.29,0.17,0.8682,,0.03,0.29,0.09,0.9287,,0.72,1.9,0.38,0.704,,0,0.07,0.06,0.9489,,0.54,1.6,0.34,0.7358
months18,20.53,20.89,0.98,0.3282,,28.24,19.42,1.45,0.1492,,72.04,26.14,2.76,0.007,,30.55,83.19,0.37,0.7143,,18.16,21.95,0.83,0.4102
backgroundBengali,1.19,27.6,0.04,0.9656,,0.16,24.76,0.01,0.995,,4.72,30.51,0.15,0.8775,,0.77,60.48,0.01,0.9898,,-1.08,20.03,-0.05,0.957
backgroundChinese,-6.48,24.08,-0.27,0.7883,,-6.49,21.67,-0.3,0.7651,,-4.25,29.32,-0.14,0.8851,,-0.44,62.52,-0.01,0.9944,,-5.27,22.52,-0.23,0.8154
count_tot:months18,1.19,0.41,2.9,0.0046,,1.22,0.41,2.94,0.0041,,-1.59,2.69,-0.59,0.5546,,0.01,0.09,0.14,0.8875,,4.97,2.27,2.19,0.031
count_tot:backgroundBengali,-0.06,0.6,-0.1,0.9239,,-0.03,0.69,-0.05,0.9602,,-0.76,2.67,-0.28,0.7769,,0,0.07,0.06,0.9483,,0.65,2.89,0.22,0.8226
count_tot:backgroundChinese,0,0.49,0,0.9982,,0.01,0.5,0.02,0.9863,,-0.34,2.95,-0.12,0.9082,,0,0.07,-0.03,0.9748,,-0.25,2.19,-0.11,0.9097
months18:backgroundBengali,14.83,39.26,0.38,0.7065,,10.07,35.24,0.29,0.7757,,-47.65,43.29,-1.1,0.2738,,-40.56,87.85,-0.46,0.6455,,-17.56,28.58,-0.61,0.5403
months18:backgroundChinese,-38.55,34.31,-1.12,0.2641,,-27.51,30.89,-0.89,0.3753,,-66.9,41.61,-1.61,0.1112,,8.64,90.66,0.1,0.9243,,9.07,32.08,0.28,0.7781
count_tot:months18:backgroundBengali,-1.25,0.85,-1.47,0.1461,,-1.41,0.98,-1.44,0.1536,,2.36,3.78,0.63,0.5328,,0.06,0.1,0.61,0.5458,,5.64,4.09,1.38,0.171
count_tot:months18:backgroundChinese,0.39,0.69,0.57,0.5698,,0.2,0.7,0.28,0.7773,,6.37,4.17,1.53,0.1297,,-0.01,0.1,-0.08,0.9396,,-2.56,3.11,-0.83,0.4113
